filename,actual,original_count,predicted,confidence
collage_115_1_receipts.jpg,1,1,2,0.5538478137030226
collage_016_3_receipts.jpg,2,3,2,0.6523317391637683
collage_249_0_receipts.jpg,0,0,0,0.5509191445929402
collage_239_0_receipts.jpg,0,0,0,0.6813451197652952
collage_180_0_receipts.jpg,0,0,0,0.5616972652815454
collage_158_0_receipts.jpg,0,0,0,0.572140100877531
collage_294_3_receipts.jpg,2,3,2,0.6667247885820754
collage_264_0_receipts.jpg,0,0,0,0.5556488675806728
collage_220_0_receipts.jpg,0,0,0,0.6477610343194795
collage_285_1_receipts.jpg,1,1,2,0.5188050038031493
collage_093_0_receipts.jpg,0,0,0,0.5785165376549494
collage_142_1_receipts.jpg,1,1,2,0.5017505157597033
collage_009_4_receipts.jpg,2,4,2,0.6752324550695145
collage_113_2_receipts.jpg,2,2,2,0.625288109385386
collage_055_1_receipts.jpg,1,1,2,0.5430285701607316
collage_033_0_receipts.jpg,0,0,0,0.5938304337411895
collage_170_0_receipts.jpg,0,0,0,0.632570832034449
collage_120_0_receipts.jpg,0,0,0,0.5337556833951463
collage_032_1_receipts.jpg,1,1,2,0.5651952220921671
collage_259_2_receipts.jpg,2,2,2,0.5135138591413477
collage_148_0_receipts.jpg,0,0,0,0.5645867907187576
collage_200_1_receipts.jpg,1,1,2,0.5138111956367765
collage_035_1_receipts.jpg,1,1,1,0.515377961697929
collage_297_1_receipts.jpg,1,1,1,0.5007811164047974
collage_272_0_receipts.jpg,0,0,0,0.6699291869657745
collage_096_3_receipts.jpg,2,3,2,0.6463887015922781
collage_109_0_receipts.jpg,0,0,0,0.5820468654658071
collage_296_0_receipts.jpg,0,0,0,0.5801635249842857
collage_184_0_receipts.jpg,0,0,0,0.6451808958848922
collage_171_0_receipts.jpg,0,0,0,0.6770731692775007
collage_006_1_receipts.jpg,1,1,2,0.5013356473123606
collage_000_0_receipts.jpg,0,0,0,0.6401641166607922
collage_024_0_receipts.jpg,0,0,0,0.604718459201912
collage_262_2_receipts.jpg,2,2,2,0.6197241248885716
collage_065_1_receipts.jpg,1,1,2,0.5137969624259315
collage_203_0_receipts.jpg,0,0,0,0.644370180845278
collage_194_0_receipts.jpg,0,0,0,0.6017497681649498
collage_014_1_receipts.jpg,1,1,1,0.5121411565646111
collage_211_2_receipts.jpg,2,2,2,0.5711114016173809
collage_041_4_receipts.jpg,2,4,2,0.6660102599321136
collage_078_1_receipts.jpg,1,1,2,0.545148542140963
collage_057_0_receipts.jpg,0,0,0,0.5931105035453829
collage_083_0_receipts.jpg,0,0,0,0.5429522200425366
collage_185_0_receipts.jpg,0,0,0,0.5539841672052596
collage_102_0_receipts.jpg,0,0,0,0.5860975181003235
collage_143_1_receipts.jpg,1,1,1,0.5349036860086936
