filename,receipt_count,label
collage_118_3_receipts.jpg,3,1
collage_146_1_receipts.jpg,1,0
collage_085_1_receipts.jpg,1,0
collage_086_2_receipts.jpg,2,1
collage_230_3_receipts.jpg,3,1
collage_166_1_receipts.jpg,1,0
collage_098_2_receipts.jpg,2,1
collage_178_3_receipts.jpg,3,1
collage_123_1_receipts.jpg,1,0
collage_053_1_receipts.jpg,1,0
collage_082_1_receipts.jpg,1,0
collage_181_2_receipts.jpg,2,1
collage_025_3_receipts.jpg,3,1
collage_150_1_receipts.jpg,1,0
collage_077_1_receipts.jpg,1,0
collage_101_2_receipts.jpg,2,1
collage_015_1_receipts.jpg,1,0
collage_097_3_receipts.jpg,3,1
collage_152_4_receipts.jpg,4,1
collage_228_1_receipts.jpg,1,0
collage_048_2_receipts.jpg,2,1
collage_283_1_receipts.jpg,1,0
collage_267_1_receipts.jpg,1,0
collage_047_1_receipts.jpg,1,0
collage_088_2_receipts.jpg,2,1
collage_244_1_receipts.jpg,1,0
collage_026_1_receipts.jpg,1,0
collage_198_1_receipts.jpg,1,0
collage_221_1_receipts.jpg,1,0
collage_208_1_receipts.jpg,1,0
collage_202_3_receipts.jpg,3,1
collage_039_1_receipts.jpg,1,0
collage_195_2_receipts.jpg,2,1
collage_116_1_receipts.jpg,1,0
collage_021_2_receipts.jpg,2,1
collage_273_2_receipts.jpg,2,1
collage_099_1_receipts.jpg,1,0
collage_019_2_receipts.jpg,2,1
collage_114_1_receipts.jpg,1,0
collage_215_1_receipts.jpg,1,0
collage_298_1_receipts.jpg,1,0
collage_060_4_receipts.jpg,4,1
collage_145_2_receipts.jpg,2,1
collage_255_1_receipts.jpg,1,0
collage_232_1_receipts.jpg,1,0
collage_282_1_receipts.jpg,1,0
collage_223_1_receipts.jpg,1,0
collage_252_2_receipts.jpg,2,1
collage_023_1_receipts.jpg,1,0
collage_278_1_receipts.jpg,1,0
collage_046_4_receipts.jpg,4,1
collage_199_1_receipts.jpg,1,0
collage_063_1_receipts.jpg,1,0
collage_141_1_receipts.jpg,1,0
collage_292_2_receipts.jpg,2,1
collage_151_1_receipts.jpg,1,0
collage_140_1_receipts.jpg,1,0
collage_087_3_receipts.jpg,3,1
collage_293_3_receipts.jpg,3,1
collage_268_2_receipts.jpg,2,1
collage_072_1_receipts.jpg,1,0
collage_265_1_receipts.jpg,1,0
collage_295_4_receipts.jpg,4,1
collage_224_4_receipts.jpg,4,1
collage_117_1_receipts.jpg,1,0
collage_164_1_receipts.jpg,1,0
collage_275_1_receipts.jpg,1,0
collage_012_4_receipts.jpg,4,1
collage_137_1_receipts.jpg,1,0
collage_271_3_receipts.jpg,3,1
collage_107_1_receipts.jpg,1,0
collage_051_1_receipts.jpg,1,0
collage_056_1_receipts.jpg,1,0
collage_131_1_receipts.jpg,1,0
collage_227_1_receipts.jpg,1,0
collage_007_3_receipts.jpg,3,1
collage_218_1_receipts.jpg,1,0
collage_044_4_receipts.jpg,4,1
collage_071_1_receipts.jpg,1,0
collage_245_4_receipts.jpg,4,1
collage_189_2_receipts.jpg,2,1
collage_177_2_receipts.jpg,2,1
collage_206_1_receipts.jpg,1,0
collage_075_1_receipts.jpg,1,0
collage_003_1_receipts.jpg,1,0
collage_176_2_receipts.jpg,2,1
collage_058_2_receipts.jpg,2,1
collage_231_4_receipts.jpg,4,1
collage_104_3_receipts.jpg,3,1
collage_219_1_receipts.jpg,1,0
collage_095_3_receipts.jpg,3,1
collage_089_1_receipts.jpg,1,0
collage_034_1_receipts.jpg,1,0
collage_067_1_receipts.jpg,1,0
collage_179_1_receipts.jpg,1,0
collage_045_1_receipts.jpg,1,0
collage_233_1_receipts.jpg,1,0
collage_037_1_receipts.jpg,1,0
collage_161_3_receipts.jpg,3,1
