filename,receipt_count
collage_118_3_receipts.jpg,3
collage_260_0_receipts.jpg,0
collage_028_0_receipts.jpg,0
collage_146_1_receipts.jpg,1
collage_299_0_receipts.jpg,0
collage_085_1_receipts.jpg,1
collage_086_2_receipts.jpg,2
collage_121_0_receipts.jpg,0
collage_230_3_receipts.jpg,3
collage_074_0_receipts.jpg,0
collage_166_1_receipts.jpg,1
collage_098_2_receipts.jpg,2
collage_011_0_receipts.jpg,0
collage_061_0_receipts.jpg,0
collage_091_0_receipts.jpg,0
collage_038_0_receipts.jpg,0
collage_030_0_receipts.jpg,0
collage_280_0_receipts.jpg,0
collage_178_3_receipts.jpg,3
collage_123_1_receipts.jpg,1
collage_053_1_receipts.jpg,1
collage_125_0_receipts.jpg,0
collage_082_1_receipts.jpg,1
collage_181_2_receipts.jpg,2
collage_025_3_receipts.jpg,3
collage_150_1_receipts.jpg,1
collage_013_0_receipts.jpg,0
collage_188_0_receipts.jpg,0
collage_018_0_receipts.jpg,0
collage_077_1_receipts.jpg,1
collage_197_0_receipts.jpg,0
collage_101_2_receipts.jpg,2
collage_250_0_receipts.jpg,0
collage_213_0_receipts.jpg,0
collage_015_1_receipts.jpg,1
collage_130_0_receipts.jpg,0
collage_097_3_receipts.jpg,3
collage_152_4_receipts.jpg,4
collage_228_1_receipts.jpg,1
collage_048_2_receipts.jpg,2
collage_169_0_receipts.jpg,0
collage_283_1_receipts.jpg,1
collage_286_0_receipts.jpg,0
collage_062_0_receipts.jpg,0
collage_234_0_receipts.jpg,0
collage_267_1_receipts.jpg,1
collage_247_0_receipts.jpg,0
collage_042_0_receipts.jpg,0
collage_047_1_receipts.jpg,1
collage_088_2_receipts.jpg,2
collage_244_1_receipts.jpg,1
collage_026_1_receipts.jpg,1
collage_257_0_receipts.jpg,0
collage_198_1_receipts.jpg,1
collage_221_1_receipts.jpg,1
collage_208_1_receipts.jpg,1
collage_202_3_receipts.jpg,3
collage_160_0_receipts.jpg,0
collage_207_0_receipts.jpg,0
collage_291_0_receipts.jpg,0
collage_127_0_receipts.jpg,0
collage_001_0_receipts.jpg,0
collage_039_1_receipts.jpg,1
collage_136_0_receipts.jpg,0
collage_132_0_receipts.jpg,0
collage_195_2_receipts.jpg,2
collage_116_1_receipts.jpg,1
collage_119_0_receipts.jpg,0
collage_021_2_receipts.jpg,2
collage_248_0_receipts.jpg,0
collage_005_0_receipts.jpg,0
collage_076_0_receipts.jpg,0
collage_156_0_receipts.jpg,0
collage_008_0_receipts.jpg,0
collage_124_0_receipts.jpg,0
collage_100_0_receipts.jpg,0
collage_214_0_receipts.jpg,0
collage_122_0_receipts.jpg,0
collage_243_0_receipts.jpg,0
collage_144_0_receipts.jpg,0
collage_273_2_receipts.jpg,2
collage_099_1_receipts.jpg,1
collage_155_0_receipts.jpg,0
collage_019_2_receipts.jpg,2
collage_114_1_receipts.jpg,1
collage_215_1_receipts.jpg,1
collage_080_0_receipts.jpg,0
collage_138_0_receipts.jpg,0
collage_139_0_receipts.jpg,0
collage_187_0_receipts.jpg,0
collage_298_1_receipts.jpg,1
collage_060_4_receipts.jpg,4
collage_216_0_receipts.jpg,0
collage_145_2_receipts.jpg,2
collage_279_0_receipts.jpg,0
collage_255_1_receipts.jpg,1
collage_232_1_receipts.jpg,1
collage_282_1_receipts.jpg,1
collage_223_1_receipts.jpg,1
collage_241_0_receipts.jpg,0
collage_159_0_receipts.jpg,0
collage_070_0_receipts.jpg,0
collage_252_2_receipts.jpg,2
collage_023_1_receipts.jpg,1
collage_094_0_receipts.jpg,0
collage_278_1_receipts.jpg,1
collage_046_4_receipts.jpg,4
collage_225_0_receipts.jpg,0
collage_199_1_receipts.jpg,1
collage_063_1_receipts.jpg,1
collage_141_1_receipts.jpg,1
collage_292_2_receipts.jpg,2
collage_151_1_receipts.jpg,1
collage_073_0_receipts.jpg,0
collage_140_1_receipts.jpg,1
collage_087_3_receipts.jpg,3
collage_210_0_receipts.jpg,0
collage_217_0_receipts.jpg,0
collage_191_0_receipts.jpg,0
collage_242_0_receipts.jpg,0
collage_253_0_receipts.jpg,0
collage_293_3_receipts.jpg,3
collage_106_0_receipts.jpg,0
collage_173_0_receipts.jpg,0
collage_162_0_receipts.jpg,0
collage_110_0_receipts.jpg,0
collage_268_2_receipts.jpg,2
collage_108_0_receipts.jpg,0
